Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
420,Jahidi White,C,23,WAS,80,59,19.2,2.9,5.6,0.0,0.0,2.9,5.6,1.4,2.6,2.5,4.4,6.9,0.2,0.4,1.0,1.2,2.9,7.1
421,Chris Whitney,PG,28,WAS,82,15,19.8,2.6,6.4,1.2,3.1,1.5,3.2,1.4,1.6,0.2,1.4,1.6,3.8,0.7,0.1,1.3,2.0,7.8
422,Aaron Williams,PF,28,WAS,81,0,19.1,2.9,5.6,0.0,0.0,2.9,5.5,1.8,2.5,2.0,3.1,5.0,0.7,0.5,1.1,1.0,2.9,7.6
423,Alvin Williams,PG,25,TOR,55,28,14.2,2.1,5.2,0.3,1.0,1.8,4.2,0.9,1.2,0.5,1.1,1.5,2.3,0.6,0.2,0.9,1.4,5.3
424,Eric Williams,SF,27,BOS,68,17,20.3,2.4,5.7,0.4,1.1,2.1,4.6,2.0,2.5,0.8,1.5,2.3,1.4,0.6,0.2,1.0,2.4,7.2
425,Jason Williams,PG,24,SAC,81,81,34.1,4.5,12.0,1.8,6.2,2.7,5.8,1.6,2.1,0.3,2.6,2.8,7.3,1.4,0.1,3.7,1.7,12.3
426,Jerome Williams,PF,26,DET,82,1,25.6,3.1,5.6,0.0,0.0,3.1,5.5,2.1,3.5,3.4,6.2,9.6,0.8,1.2,0.3,1.3,2.4,8.4
427,Lorenzo Williams,PF,30,WAS,8,0,9.5,0.9,1.1,0.0,0.0,0.9,1.1,0.0,0.0,1.5,1.6,3.1,0.1,0.4,0.8,0.4,1.6,1.8
428,Monty Williams,SF,28,ORL,75,23,20.0,3.5,7.2,0.0,0.1,3.5,7.1,1.6,2.2,1.3,2.1,3.3,1.4,0.6,0.2,1.5,2.5,8.7
429,Scott Williams,C,31,MIL,68,46,21.9,3.1,6.3,0.0,0.0,3.1,6.3,1.4,1.9,2.6,4.0,6.6,0.4,0.6,1.0,1.0,3.4,7.6
430,Shammond Williams,PG,24,SEA,43,5,12.0,2.0,5.2,0.6,1.9,1.4,3.3,0.8,1.2,0.3,0.9,1.2,1.8,0.4,0.0,0.9,0.9,5.2
431,Walt Williams,SF,29,HOU,76,66,24.5,4.1,9.0,1.3,3.4,2.8,5.5,1.3,1.6,0.9,3.1,4.0,2.1,0.6,0.6,1.5,2.5,10.9
